
---------- Begin Simulation Statistics ----------
simSeconds                                   0.007916                       # Number of seconds simulated (Second)
simTicks                                   7915690000                       # Number of ticks simulated (Tick)
finalTick                                  7915690000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     12.96                       # Real time elapsed on the host (Second)
hostTickRate                                611012081                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     724184                       # Number of bytes of host memory used (Byte)
simInsts                                      4139980                       # Number of instructions simulated (Count)
simOps                                        7416711                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   319438                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     572156                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          7915691                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.912012                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.523009                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         9641285                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   146465                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        8431471                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  16434                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2371033                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           6396068                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               82625                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             7891092                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.068480                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.593642                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4765408     60.39%     60.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    678582      8.60%     68.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    825037     10.46%     79.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    967808     12.26%     91.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    291669      3.70%     95.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    223467      2.83%     98.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     83758      1.06%     99.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     30072      0.38%     99.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     25291      0.32%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               7891092                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    3319     17.02%     17.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     17.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     17.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     17.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     17.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     17.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     17.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     17.02% # attempts to use FU when none available (Count)
