
---------- Begin Simulation Statistics ----------
simSeconds                                   0.476841                       # Number of seconds simulated (Second)
simTicks                                 476841169000                       # Number of ticks simulated (Tick)
finalTick                                476841169000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    696.30                       # Real time elapsed on the host (Second)
hostTickRate                                684818926                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     724504                       # Number of bytes of host memory used (Byte)
simInsts                                    205546565                       # Number of instructions simulated (Count)
simOps                                      351508316                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   295197                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     504821                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        476841170                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.319869                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.431059                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       491745522                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  9981402                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      412757293                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1295165                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            150218526                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         414754460                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved             5608362                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           476816323                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.865653                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.412131                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 308887395     64.78%     64.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  43415670      9.11%     73.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  51311831     10.76%     84.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  45793860      9.60%     94.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  17699499      3.71%     97.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4298620      0.90%     98.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1957484      0.41%     99.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   2315331      0.49%     99.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1136633      0.24%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             476816323                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   30196      2.06%      2.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      2.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      2.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      2.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      2.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      2.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      2.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      2.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      2.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      2.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      2.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      2.06% # attempts to use FU when none available (Count)
