
---------- Begin Simulation Statistics ----------
simSeconds                                   0.238586                       # Number of seconds simulated (Second)
simTicks                                 238586269000                       # Number of ticks simulated (Tick)
finalTick                                238586269000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    344.80                       # Real time elapsed on the host (Second)
hostTickRate                                691960284                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     724468                       # Number of bytes of host memory used (Byte)
simInsts                                    103101646                       # Number of instructions simulated (Count)
simOps                                      176495709                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   299021                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     511882                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        238586270                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.314088                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.432136                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       246675297                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  4981869                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      207287234                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 643458                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             75161451                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         207200958                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved             2799339                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           238561565                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.868905                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.415354                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 154395082     64.72%     64.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  21745909      9.12%     73.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  25469631     10.68%     84.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  23145200      9.70%     94.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   8867594      3.72%     97.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2209752      0.93%     98.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1014885      0.43%     99.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1150079      0.48%     99.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    563433      0.24%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             238561565                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   15926      2.16%      2.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      2.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      2.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      2.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      2.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      2.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      2.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      2.16% # attempts to use FU when none available (Count)
