
---------- Begin Simulation Statistics ----------
simSeconds                                   5.714297                       # Number of seconds simulated (Second)
simTicks                                 5714296912000                       # Number of ticks simulated (Tick)
finalTick                                5714296912000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   7993.23                       # Real time elapsed on the host (Second)
hostTickRate                                714892521                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     724232                       # Number of bytes of host memory used (Byte)
simInsts                                   2493147497                       # Number of instructions simulated (Count)
simOps                                     4255247018                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   311908                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     532357                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       5714296913                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.292001                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.436300                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      5949381405                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                120286174                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     4999670118                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               14059949                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           1814420538                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        5007297676                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved            67670842                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          5714272727                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.874944                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.431700                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                3702283794     64.79%     64.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 510617962      8.94%     73.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 620299303     10.86%     84.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 534812332      9.36%     93.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 213985444      3.74%     97.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  64534671      1.13%     98.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  28734307      0.50%     99.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  19043731      0.33%     99.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  19961183      0.35%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            5714272727                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  331435      2.51%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      9      0.00%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      3      0.00%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     1      0.00%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%      2.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%      2.51% # attempts to use FU when none available (Count)
