
---------- Begin Simulation Statistics ----------
simSeconds                                   0.567366                       # Number of seconds simulated (Second)
simTicks                                 567365604000                       # Number of ticks simulated (Tick)
finalTick                                567365604000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    833.74                       # Real time elapsed on the host (Second)
hostTickRate                                680505691                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     724404                       # Number of bytes of host memory used (Byte)
simInsts                                    240993113                       # Number of instructions simulated (Count)
simOps                                      411098811                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   289050                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     493077                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        567365605                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.354281                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.424758                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       593005836                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                 11646195                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      490710716                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1334538                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            193553214                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         521867696                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved             6552561                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           567339474                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.864933                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.421080                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 364475028     64.24%     64.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  56791043     10.01%     74.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  65938290     11.62%     85.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  44366064      7.82%     93.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  22920414      4.04%     97.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   6765338      1.19%     98.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1786427      0.31%     99.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1656967      0.29%     99.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2639903      0.47%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             567339474                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  295896     11.85%     11.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     11.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     11.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     11.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     11.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     11.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     11.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     11.85% # attempts to use FU when none available (Count)
