
---------- Begin Simulation Statistics ----------
simSeconds                                   0.240178                       # Number of seconds simulated (Second)
simTicks                                 240177979000                       # Number of ticks simulated (Tick)
finalTick                                240177979000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    366.87                       # Real time elapsed on the host (Second)
hostTickRate                                654669791                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     722484                       # Number of bytes of host memory used (Byte)
simInsts                                    102200375                       # Number of instructions simulated (Count)
simOps                                      174569569                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   278575                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     475836                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        240177980                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.350069                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.425519                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       260406559                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  4876464                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      212183302                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 633044                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             90713440                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         247068501                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved             2745006                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           240151599                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.883539                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.451558                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 154204696     64.21%     64.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  23207857      9.66%     73.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  27395434     11.41%     85.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  19389544      8.07%     93.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   9879462      4.11%     97.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3203666      1.33%     98.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    797231      0.33%     99.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    893291      0.37%     99.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1180418      0.49%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             240151599                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  169523     15.55%     15.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     15.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     15.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     15.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     15.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     15.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     15.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     15.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     15.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     15.55% # attempts to use FU when none available (Count)
